series,run,step,model,vae,latent_channels,latent_spatial,vae_scaling_factor,data_csv,img_root,char_embed_dim,callig_embed_dim,num_characters,dino,cond_mode,condition_fusion,sampler,use_skel,skel_root,w_skel,use_canny,w_canny,glyph_init_mix,w_glyph_cond,balance_callig_alpha,balance_char_alpha,lr,weight_decay,warmup_steps,max_steps,batch_size,ema_decay,lr_schedule,min_lr_ratio,resume,train_ctrl_only,main_ckpt,skel_cond_channels,cond_drop_struct_prob,eval_csv,eval_n,eval_steps,eval_cfg,eval_seed,mse,ssim,ssim_old_uniform,skel_iou,lpips,mse_base,ssim_base,mse_ctrl,ssim_ctrl,skel_iou_base,skel_iou_ctrl,lpips_base,lpips_ctrl,delta_ssim,delta_mse,delta_skel_iou,delta_lpips,src
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,12500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.23173280512914063,0.8111871494204693,0.5033210332103321,0.6922222222222222,0.22642190754413605,0.1664198338985443,0.08196357276057376,-0.2022627099789679,0.18890118901189012,-0.060002073645591736,eval_auto
ctrl_skel,20260822-195603-ctrl-skel-3px,15000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.2552914461120963,0.8041175257166226,,,,,0.07866006463766073,-0.1878992244973779,,,eval_auto
ctrl_skel,20260823-085301-ctrl-skel-top30-scratch,15000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top30.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,2000,200000,112,0.9999,,0.05,,False,,1,0.1,,,,,,,,,,,3.7208080768585203,0.03058603703781651,2.728643720149994,0.14410933038685475,,,,,0.11352329334903824,-0.9921643567085265,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,15000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.22681667482480405,0.8131242383809633,0.5033210332103321,0.7057837384744342,0.22642190754413605,0.16498583555221558,0.08390066172106769,-0.20717884028330447,0.20246270526410215,-0.06143607199192047,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,17500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.22735192254185677,0.8128560073273764,0.5033210332103321,0.6975138121546961,0.22642190754413605,0.1641920506954193,0.08363243066748083,-0.20664359256625175,0.19419277894436404,-0.062229856848716736,eval_auto
ctrl_skel,20260822-195603-ctrl-skel-3px,20000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.25037317518144847,0.8073180489738782,,,,,0.08186058789491624,-0.19281749542802573,,,eval_auto
ctrl_skel,20260823-085301-ctrl-skel-top30-scratch,20000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top30.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,2000,200000,112,0.9999,,0.05,,False,,1,0.1,,,,,,,,,,,3.592982473373413,0.01229916696126262,2.9218830394744875,0.038220213257009174,,,,,0.025921046295746555,-0.6710994338989256,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,20000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.22638559194281696,0.8128313303384241,0.5033210332103321,0.7007419620774938,0.22642190754413605,0.16392822563648224,0.08360775367852857,-0.20760992316529156,0.19742092886716178,-0.06249368190765381,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,22500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.2248084670677781,0.8144403497155008,0.5033210332103321,0.703266538567115,0.22642190754413605,0.16266357898712158,0.08521677305560527,-0.20918704804033042,0.1999455053567829,-0.06375832855701447,eval_auto
ctrl_skel,20260822-195603-ctrl-skel-3px,25000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.24873682510107756,0.8079479376475015,,,,,0.08249047656853958,-0.19445384550839664,,,eval_auto
