run_dir,series,experiment,model,task,data_csv,diffusion_type,image_size,batch_size,lr,max_steps,last_step,last_ssim,best_step,best_ssim,best_lpips,best_mse,best_skel_iou,n_eval_points,sources,arms
5script/results/s19_midclean_s_flow/20260828-143711-s19-midclean-s-flow,s19_midclean_s_flow,20260828-143711-s19-midclean-s-flow,DiT-2Cond-S/2,pretrain,5script/train_mid_clean.csv,flow,256,240,0.0002,300000,57500,0.5214,50000,0.5222,0.3859,0.79412,0.022,39,early_stop|eval_metrics,combo
5script/results/s20_midcommon_s_flow_v2/20260829-023132-s20-midcommon-s-flow-v2,s20_midcommon_s_flow_v2,20260829-023132-s20-midcommon-s-flow-v2,DiT-2Cond-S/2,pretrain,5script/train_mid_common.csv,flow,256,128,0.00015,150000,102500,0.5294,102500,0.5294,0.3822,0.81546,0.0218,78,early_stop|eval_metrics,
5script/results/s21_fame_flow_v2/20260829-232329-s21-fame-flow-v2,s21_fame_flow_v2,20260829-232329-s21-fame-flow-v2,DiT-2Cond-S/2,pretrain,5script/train_fame.csv,flow,256,192,0.00015,150000,40000,0.4641,30000,0.467,0.4407,1.03248,0.0152,29,early_stop|eval_metrics,
5script/results/s22_char_embed_only/20260830-181142-s22-char-embed-only,s22_char_embed_only,20260830-181142-s22-char-embed-only,DiT-2Cond-S/2,pretrain,5script/train_fame.csv,flow,256,192,0.0005,47500,32500,0.4619,30000,0.4622,0.4468,1.03609,0.0146,3,early_stop|eval_metrics,
5script/results/s2_fromscratch_2factor/20260816-200759-s-fromscratch-2factor-kailishu,s2_fromscratch_2factor,20260816-200759-s-fromscratch-2factor-kailishu,DiT-2Cond-S/2,pretrain,kailishu_train.csv,,256,128,0.0002,50000,50000,0.5773,50000,0.5773,,0.70152,,15,auto_eval,free
5script/results/s2_fromscratch_glyphmid/20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,s2_fromscratch_glyphmid,20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,DiT-2Cond-S/2,pretrain,kailishu_train.csv,,256,128,0.0002,50000,10000,0.453,10000,0.453,,1.28446,,7,auto_eval,free
5script/results/s5_2factor_B_latentstruct/20260817-162129-s5-2factor-B-latent-struct,s5_2factor_B_latentstruct,20260817-162129-s5-2factor-B-latent-struct,DiT-2Cond-B/2,pretrain,5script/train_top30.csv,,256,64,0.0002,200000,130000,0.5067,130000,0.5067,,0.88281,,31,auto_eval,free
5script/results/s5_2factor_B_latentstruct_pixelsk_opt/20260817-235725-s5-2factor-B-latentC-pixelsk-opt,s5_2factor_B_latentstruct_pixelsk_opt,20260817-235725-s5-2factor-B-latentC-pixelsk-opt,DiT-2Cond-B/2,pretrain,5script/train_top30.csv,,256,64,0.0002,400000,5000,0.1164,5000,0.1164,,1.76555,,6,auto_eval,free
5script/results/s5_2factor_struct_post50k/20260817-114502-struct-post50k,s5_2factor_struct_post50k,20260817-114502-struct-post50k,DiT-2Cond-S/2,pretrain,5script/train_top30.csv,,256,12,0.0002,200000,60000,0.5079,55000,0.5319,,0.91515,,2,auto_eval,free
5script/results/s5_2factor_top30/20260816-230931-s5-2factor-top30-bigbatch,s5_2factor_top30,20260816-230931-s5-2factor-top30-bigbatch,DiT-2Cond-S/2,pretrain,5script/train_top30.csv,,256,192,0.0002,50000,1000,0.1198,1000,0.1198,,2.46571,,2,auto_eval,free
5script/results/s5_2factor_top30/20260816-232040-s5-2factor-top30-bigbatch,s5_2factor_top30,20260816-232040-s5-2factor-top30-bigbatch,DiT-2Cond-S/2,pretrain,5script/train_top30.csv,,256,192,0.0002,50000,50000,0.512,50000,0.512,,0.85429,,15,auto_eval,free
5script/results/s5_2factor_top30/20260817-100535-s5-2factor-top30-bigbatch,s5_2factor_top30,20260817-100535-s5-2factor-top30-bigbatch,DiT-2Cond-S/2,pretrain,5script/train_top30.csv,,256,192,0.0002,200000,70000,0.5197,70000,0.5197,,0.84117,,4,auto_eval,free
5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume,s6_top6_diffonly,20260820-191536-s6-top6-diffonly-resume,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,192,0.0002,200000,195000,0.7322,195000,0.7322,,,,35,early_stop,
5script/results/s6_top6_struct_fp32/20260820-002342-s6-top6-struct-fp32,s6_top6_struct_fp32,20260820-002342-s6-top6-struct-fp32,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,48,0.0002,200000,85000,0.3301,85000,0.3301,,,,13,early_stop,
5script/results/s6_top6_struct_fp32/20260821-073004-s6-top6-struct-fp32-resume,s6_top6_struct_fp32,20260821-073004-s6-top6-struct-fp32-resume,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,48,0.0002,200000,125000,0.4044,125000,0.4044,,,,7,early_stop,
5script/results/s7_klf4_top30/20260823-163710-s7-klf4-top30-diffonly,s7_klf4_top30,20260823-163710-s7-klf4-top30-diffonly,DiT-2Cond-S/4,pretrain,5script/train_top30.csv,,256,224,0.0002,600000,75000,0.509,75000,0.509,,,,4,early_stop,
5script/results/s7_ramp_b8all/20260821-142832-s7-ramp-b8all,s7_ramp_b8all,20260821-142832-s7-ramp-b8all,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,8,0.0001,275000,230000,0.5411,205000,0.5768,,,,6,early_stop,
5script/results/s8_klf4_clean_dino/20260823-234546-s8-klf4-clean-dino,s8_klf4_clean_dino,20260823-234546-s8-klf4-clean-dino,DiT-2Cond-S/4,pretrain,5script/train_top30_clean.csv,,256,224,0.0002,600000,105000,0.5257,105000,0.5257,,,,11,early_stop,
5script/results/s8_structv2_b8all/20260821-212149-s8-structv2-b8all,s8_structv2_b8all,20260821-212149-s8-structv2-b8all,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,8,0.0001,275000,210000,0.496,205000,0.5387,,,,2,early_stop,
5script/results/s9_skelonly/20260821-232920-s9-skelonly,s9_skelonly,20260821-232920-s9-skelonly,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,,256,32,0.0001,260000,235000,0.476,205000,0.6102,,,,7,early_stop,
5script/results/v3a/20260815-193523-v3a-2factor-glyph-composable,v3a,20260815-193523-v3a-2factor-glyph-composable,DiT-2Cond-S/2,pretrain,5script/train.csv,,256,224,0.0001,39600,2000,0.2708,2000,0.2708,,1.69902,,2,auto_eval,free
5script/results/v3a/20260815-195729-v3a-2factor-glyph-canny-skel,v3a,20260815-195729-v3a-2factor-glyph-canny-skel,DiT-2Cond-S/2,pretrain,5script/train.csv,,256,8,0.0001,39600,5000,0.1284,5000,0.1284,,1.8293,,5,auto_eval,free
5script/results/v3a/20260815-213305-v3a-2factor-glyph-canny-skel,v3a,20260815-213305-v3a-2factor-glyph-canny-skel,DiT-2Cond-S/2,pretrain,5script/train.csv,,256,12,0.0001,39600,5000,0.1565,5000,0.1565,,1.61075,,5,auto_eval,free
5script/results/v3a/20260815-225356-v3a-2factor-glyph-canny-skel,v3a,20260815-225356-v3a-2factor-glyph-canny-skel,DiT-2Cond-S/2,pretrain,5script/train.csv,,256,12,0.0001,39600,1000,0.1048,1000,0.1048,,2.07065,,2,auto_eval,free
5script/results/v3a/20260816-002421-v3a-2factor-glyph-canny-skel,v3a,20260816-002421-v3a-2factor-glyph-canny-skel,DiT-2Cond-S/2,pretrain,5script/train.csv,,256,12,0.0001,39600,35000,0.3946,35000,0.3946,,1.08066,,12,auto_eval,free
5script/results/v3a_xl/20260815-232600-v3a-2factor-glyph-XL-lora-cs,v3a_xl,20260815-232600-v3a-2factor-glyph-XL-lora-cs,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,4,0.0001,39600,5000,0.0305,1000,0.0349,,2.82405,,6,auto_eval,free
5script/results/v3a_xl_highdim/20260816-101955-v3a-2factor-glyph-XL-highdim-LoRA-cs,v3a_xl_highdim,20260816-101955-v3a-2factor-glyph-XL-highdim-LoRA-cs,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,4,0.0001,35000,1000,0.015,0,0.0202,,4.06619,,2,auto_eval,free
5script/results/v3a_xl_highdim/20260816-103708-v3a-2factor-glyph-XL-highdim-LoRA-cs,v3a_xl_highdim,20260816-103708-v3a-2factor-glyph-XL-highdim-LoRA-cs,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,4,0.0001,35000,5000,0.1908,3000,0.1997,,1.67584,,6,auto_eval,free
5script/results/v3a_xl_highdim/20260816-114452-v3a-2factor-glyph-XL-highdim-LoRA-cs,v3a_xl_highdim,20260816-114452-v3a-2factor-glyph-XL-highdim-LoRA-cs,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,4,0.0001,35000,5000,0.1758,5000,0.1758,,1.48112,,6,auto_eval,free
5script/results/v3a_xl_skelhead/20260816-132613-v3a-XL-skelhead-guide,v3a_xl_skelhead,20260816-132613-v3a-XL-skelhead-guide,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,16,0.0001,30000,1000,0.1261,1000,0.1261,,2.00499,,2,auto_eval,free
5script/results/v3a_xl_skelhead/20260816-133413-v3a-XL-skelhead-guide,v3a_xl_skelhead,20260816-133413-v3a-XL-skelhead-guide,DiT-2Cond-XL/2,pretrain,5script/train.csv,,256,16,0.0001,30000,15000,0.4045,15000,0.4045,,1.18433,,8,auto_eval,free
5script/results/v3b_xl_glyphcond/20260816-150221-v3b-XL-glyphcond-kailishu,v3b_xl_glyphcond,20260816-150221-v3b-XL-glyphcond-kailishu,DiT-2Cond-XL/2,pretrain,kailishu_train.csv,,256,16,0.0001,30000,30000,0.4888,30000,0.4888,,0.99224,,11,auto_eval,free
5script/results/v3c_xl_glyphcond_midstep/20260816-183348-v3c-XL-glyphcond-midstep-kailishu,v3c_xl_glyphcond_midstep,20260816-183348-v3c-XL-glyphcond-midstep-kailishu,DiT-2Cond-XL/2,pretrain,kailishu_train.csv,,256,16,0.0001,30000,0,0.0341,0,0.0341,,2.65855,,1,auto_eval,free
