path,type,size_mb,n_files,age_days,action,reason
src/eval/gradio_controlnet.py,file,0.012,1,2.5,KEEP,src/eval 源码
tools/augment_encode_latents.py,file,0.011,1,4.6,KEEP,tools 源码
tools/build_results_csv.py,file,0.011,1,5.4,KEEP,tools 源码
tools/cleanup_old_experiments.py,file,0.011,1,1.4,KEEP,tools 源码
tools/train_struct_probe_256_v2.py,file,0.011,1,8.5,KEEP,tools 源码
src/eval/test_controlnet.py,file,0.011,1,2.5,KEEP,src/eval 源码
tools/auto_eval_pixel.py,file,0.01,1,8.5,KEEP,tools 源码
tools/smoke_s20_pipelines.py,file,0.01,1,2.0,KEEP,tools 源码
tools/vae_noise_full.py,file,0.01,1,6.5,KEEP,tools 源码
src/model/lora.py,file,0.01,1,2.5,KEEP,src/model 源码
tools/build_fame_skel1px.py,file,0.009,1,0.3,KEEP,tools 源码
tools/train_struct_probe_256.py,file,0.009,1,8.5,KEEP,tools 源码
tools/vae_noise_multiproc.py,file,0.009,1,6.5,KEEP,tools 源码
src/eval/eval_compose.py,file,0.009,1,2.5,KEEP,src/eval 源码
src/eval/eval_metrics_daemon.py,file,0.009,1,3.1,KEEP,src/eval 源码
tools/aug_phase1.py,file,0.008,1,4.5,KEEP,tools 源码
tools/build_skel_latents.py,file,0.008,1,0.3,KEEP,tools 源码
tools/build_std_glyph_latents.py,file,0.008,1,2.0,KEEP,tools 源码
tools/plot_all_experiments.py,file,0.008,1,1.4,KEEP,tools 源码
src/eval/eval_controlnet_cpu.py,file,0.008,1,2.5,KEEP,src/eval 源码
src/eval/eval_ctrl_metrics_daemon.py,file,0.008,1,2.6,KEEP,src/eval 源码
src/eval/sample_controlnet.py,file,0.008,1,2.5,KEEP,src/eval 源码
tools/bench_batch_s20.py,file,0.007,1,1.9,KEEP,tools 源码
tools/build_eval500.py,file,0.007,1,4.6,KEEP,tools 源码
tools/build_fame_fast.py,file,0.007,1,1.1,KEEP,tools 源码
tools/dino_diagnose.py,file,0.007,1,2.0,KEEP,tools 源码
tools/make_ctrl_posters.py,file,0.007,1,0.5,KEEP,tools 源码
tools/make_eval_poster_eval.py,file,0.007,1,3.3,KEEP,tools 源码
tools/plot_experiment_axes.py,file,0.007,1,1.4,KEEP,tools 源码
tools/remote_dino_extract.py,file,0.007,1,7.1,KEEP,tools 源码
tools/run_fame_pipeline.py,file,0.007,1,1.1,KEEP,tools 源码
tools/train_latent_condition_probe.py,file,0.007,1,15.3,KEEP,tools 源码
tools/vae_noise_gpu.py,file,0.007,1,6.5,KEEP,tools 源码
tools/vae_patch_compare.py,file,0.007,1,6.7,KEEP,tools 源码
tools/aug_phase2_merge.py,file,0.006,1,4.5,KEEP,tools 源码
tools/build_eval_strict_midclean.py,file,0.006,1,2.0,KEEP,tools 源码
tools/eval_s20_ctrl_monitor.py,file,0.006,1,1.2,KEEP,tools 源码
tools/eval_unified.py,file,0.006,1,2.0,KEEP,tools 源码
tools/expand_eval_dirty.py,file,0.006,1,6.5,KEEP,tools 源码
tools/train_latent_structure_probe.py,file,0.006,1,15.3,KEEP,tools 源码
tools/train_skel_decoder.py,file,0.006,1,8.4,KEEP,tools 源码
tools/vae_noise_eval.py,file,0.006,1,6.5,KEEP,tools 源码
src/utils/dataset.py,file,0.006,1,0.1,KEEP,src/utils 源码
src/loss/timestep_sampler.py,file,0.006,1,18.3,KEEP,src/loss 源码
tools/bench_mem_s20.py,file,0.005,1,2.0,KEEP,tools 源码
tools/build_eval_strict_top6.py,file,0.005,1,3.1,KEEP,tools 源码
tools/make_seen_poster.py,file,0.005,1,3.3,KEEP,tools 源码
tools/watch_pretrain_launch_ctrl.py,file,0.005,1,0.6,KEEP,tools 源码
src/loss/respace.py,file,0.005,1,18.3,KEEP,src/loss 源码
tools/analyze_factor_sampler.py,file,0.004,1,15.3,KEEP,tools 源码
tools/analyze_latent_structure.py,file,0.004,1,15.3,KEEP,tools 源码
tools/analyze_results.py,file,0.004,1,5.4,KEEP,tools 源码
tools/build_compositional_eval.py,file,0.004,1,15.4,KEEP,tools 源码
tools/build_latent_structure_cache.py,file,0.004,1,8.5,KEEP,tools 源码
tools/build_smoke_data.py,file,0.004,1,5.2,KEEP,tools 源码
tools/cfg_sweep_ctrl.py,file,0.004,1,5.3,KEEP,tools 源码
tools/eval_grad_offset.py,file,0.004,1,8.3,KEEP,tools 源码
tools/eval_vis_s20_ctrl.py,file,0.004,1,1.4,KEEP,tools 源码
tools/make_simple_poster.py,file,0.004,1,3.3,KEEP,tools 源码
tools/monitor_s20.py,file,0.004,1,1.9,KEEP,tools 源码
tools/prelaunch_check_s20.py,file,0.004,1,2.0,KEEP,tools 源码
tools/remote_b4_memtest.py,file,0.004,1,6.7,KEEP,tools 源码
tools/test_ddpm_regression.py,file,0.004,1,5.2,KEEP,tools 源码
tools/test_flow_matching.py,file,0.004,1,5.2,KEEP,tools 源码
src/eval/backfill_eval.py,file,0.004,1,2.5,KEEP,src/eval 源码
src/eval/eval_full_3cond.py,file,0.004,1,2.5,KEEP,src/eval 源码
src/eval/eval_models.py,file,0.004,1,18.4,KEEP,src/eval 源码
src/eval/eval_test.py,file,0.004,1,2.5,KEEP,src/eval 源码
src/utils/latent_structure.py,file,0.004,1,15.3,KEEP,src/utils 源码
src/loss/__init__.py,file,0.004,1,2.0,KEEP,src/loss 源码
tools/build_pixel_classifier_data.py,file,0.003,1,4.9,KEEP,tools 源码
tools/stat_aug_quality.py,file,0.003,1,2.5,KEEP,tools 源码
tools/stat_mid_clean.py,file,0.003,1,2.5,KEEP,tools 源码
src/eval/eval_gen.py,file,0.003,1,2.5,KEEP,src/eval 源码
src/eval/eval_metrics.py,file,0.003,1,18.4,KEEP,src/eval 源码
src/utils/glyph_latent.py,file,0.003,1,14.4,KEEP,src/utils 源码
src/utils/glyph_latent_v2.py,file,0.003,1,2.0,KEEP,src/utils 源码
src/loss/diffusion_utils.py,file,0.003,1,18.3,KEEP,src/loss 源码
tools/gen_skel_d3.py,file,0.002,1,8.4,KEEP,tools 源码
tools/remote_dashboard.py,file,0.002,1,11.1,KEEP,tools 源码
tools/remove_dirty.py,file,0.002,1,6.5,KEEP,tools 源码
tools/stat_ids_skel.py,file,0.002,1,2.5,KEEP,tools 源码
src/eval/in_process_ctrl_eval.py,file,0.002,1,2.4,KEEP,src/eval 源码
src/utils/download.py,file,0.002,1,18.4,KEEP,src/utils 源码
src/utils/samplers.py,file,0.002,1,15.2,KEEP,src/utils 源码
tools/build_mid_common_csv.py,file,0.001,1,2.2,KEEP,tools 源码
tools/check_ctrl_data.py,file,0.001,1,2.2,KEEP,tools 源码
tools/check_steps_per_sec.py,file,0.001,1,2.3,KEEP,tools 源码
tools/clean_eval500.py,file,0.001,1,6.4,KEEP,tools 源码
tools/print_eval_trend.py,file,0.001,1,2.3,KEEP,tools 源码
tools/stat_img_paths.py,file,0.001,1,2.5,KEEP,tools 源码
src/eval/latent_condition_probe.py,file,0.001,1,15.3,KEEP,src/eval 源码
src/model/__init__.py,file,0.001,1,2.0,KEEP,src/model 源码
src/utils/__init__.py,file,0.001,1,0.1,KEEP,src/utils 源码
src/eval/__init__.py,file,0.0,1,2.4,KEEP,src/eval 源码
src/train/__init__.py,file,0.0,1,2.5,KEEP,src/train 源码
5script/,dir,244872.83,255477,0.0,REVIEW,需人工判断
results/,dir,40610.58,82144,7.5,REVIEW,需人工判断
MCCD.7z,file,22644.091,1,19.4,REVIEW,需人工判断
dataset.zip,file,13191.812,1,18.4,REVIEW,需人工判断
new_data/,dir,3780.48,10064,16.6,REVIEW,需人工判断
new_data_skel0/,dir,2962.41,28,16.6,REVIEW,需人工判断
final_imgs_mid_clean/,dir,1327.13,95179,1.1,REVIEW,需人工判断
final_canny_d3/,dir,748.92,329715,8.4,REVIEW,需人工判断
test_eval_B_imgs/,dir,721.48,10000,16.2,REVIEW,需人工判断
test_eval_S_imgs/,dir,720.06,10000,16.3,REVIEW,需人工判断
test_eval_E_imgs/,dir,718.74,10000,15.8,REVIEW,需人工判断
test_eval_C_imgs/,dir,718.3,10000,16.1,REVIEW,需人工判断
test_eval_F_imgs/,dir,716.84,10000,15.9,REVIEW,需人工判断
test_eval_D_imgs/,dir,715.58,10000,16.0,REVIEW,需人工判断
fame.npz,file,358.697,1,1.1,REVIEW,需人工判断
src/,dir,350.44,43975,2.5,REVIEW,需人工判断
archive/,dir,206.59,318,2.0,REVIEW,需人工判断
final_skel_latents_mid_common/,dir,164.58,369,2.2,REVIEW,需人工判断
std_glyph_latent/,dir,125.17,7925,14.4,REVIEW,需人工判断
std_glyph_latent.tgz,file,112.436,1,14.4,REVIEW,需人工判断
latent_missing/,dir,98.5,12414,17.0,REVIEW,需人工判断
skel_bank_train.npz,file,93.465,1,0.5,REVIEW,需人工判断
final_manifest_split.json,file,90.602,1,17.0,REVIEW,需人工判断
latent_missing.tar.gz,file,86.076,1,17.0,REVIEW,需人工判断
final_local_imgs.tar.gz,file,74.694,1,17.0,REVIEW,需人工判断
latent_struct_probe_cache.npz,file,63.508,1,13.1,REVIEW,需人工判断
final_skel_latents_fame_std/,dir,61.52,20,0.4,REVIEW,需人工判断
flip_backup/,dir,49.7,2751,1.1,REVIEW,需人工判断
train.csv,file,39.256,1,17.6,REVIEW,需人工判断
flip_backup_fame2/,dir,38.19,757,1.0,REVIEW,需人工判断
final_latent_plan.json,file,26.24,1,17.0,REVIEW,需人工判断
final_img_plan.json,file,25.901,1,17.0,REVIEW,需人工判断
gen_curves_S/,dir,21.67,336,15.5,REVIEW,需人工判断
final_train.csv,file,16.082,1,17.0,REVIEW,需人工判断
docs/,dir,12.05,46,2.4,REVIEW,需人工判断
tools/,dir,7.95,290,0.3,REVIEW,需人工判断
std_skel/,dir,7.69,7923,14.5,REVIEW,需人工判断
train5.csv,file,7.373,1,15.5,REVIEW,需人工判断
std_skel.tgz,file,6.989,1,14.4,REVIEW,需人工判断
famous_calligrapher.csv,file,5.301,1,1.1,REVIEW,需人工判断
test.csv,file,4.908,1,17.6,REVIEW,需人工判断
val.csv,file,4.905,1,17.6,REVIEW,需人工判断
exp_s5-2factor-B-canny05-pixelsk.log,file,3.934,1,11.5,REVIEW,需人工判断
final_skel_latents_eval_v2/,dir,3.53,8,1.6,REVIEW,需人工判断
example_100.tgz,file,3.42,1,18.1,REVIEW,需人工判断
kailishu_train.csv,file,3.314,1,14.4,REVIEW,需人工判断
run_s6.log,file,2.438,1,10.2,REVIEW,需人工判断
exp_s5_B_latent.log,file,2.432,1,13.1,REVIEW,需人工判断
exp_s5-2factor-B-latentC-pixelsk-opt.log,file,2.137,1,12.5,REVIEW,需人工判断
final_skel_latents_eval/,dir,2.12,5,2.2,REVIEW,需人工判断
run_s7_klf4.log,file,1.668,1,7.1,REVIEW,需人工判断
skel_bank_std.npz,file,1.471,1,0.5,REVIEW,需人工判断
logs_s10.txt,file,1.287,1,6.1,REVIEW,需人工判断
gen_eval_C_imgs/,dir,1.24,20,15.6,REVIEW,需人工判断
gen_eval_S_old_imgs/,dir,1.21,20,15.5,REVIEW,需人工判断
eval_remote_0042500.png,file,0.973,1,17.4,REVIEW,需人工判断
exp_s5_B_pixelfp32.log,file,0.938,1,11.1,REVIEW,需人工判断
exp_s2_2factor.log,file,0.925,1,14.1,REVIEW,需人工判断
exp_s5_top30.log,file,0.925,1,13.9,REVIEW,需人工判断
run_top30_diffonly.log,file,0.891,1,7.4,REVIEW,需人工判断
dict2.txt,file,0.861,1,18.4,REVIEW,需人工判断
viz_ab_B.png,file,0.85,1,16.1,REVIEW,需人工判断
viz_ab_A.png,file,0.842,1,16.1,REVIEW,需人工判断
overfit_2cond_comparison.png,file,0.794,1,18.1,REVIEW,需人工判断
compose_test_imgs/,dir,0.78,4,15.2,REVIEW,需人工判断
train_s7_ramp_b8all.log,file,0.75,1,9.2,REVIEW,需人工判断
run_s9.log,file,0.696,1,8.8,REVIEW,需人工判断
exp_v3a_glyph_cs5.log,file,0.652,1,14.7,REVIEW,需人工判断
exp_v3b_glyphcond.log,file,0.523,1,14.3,REVIEW,需人工判断
final_test.csv,file,0.508,1,17.0,REVIEW,需人工判断
dataset_quality_verification.png,file,0.476,1,18.4,REVIEW,需人工判断
logs_s11-top6-p4.txt,file,0.46,1,5.6,REVIEW,需人工判断
logs_s11_serial.txt,file,0.46,1,5.6,REVIEW,需人工判断
eval_2500.png,file,0.444,1,17.3,REVIEW,需人工判断
exp_s5_top30_r.log,file,0.424,1,13.6,REVIEW,需人工判断
exp_xl_head.log,file,0.42,1,16.2,REVIEW,需人工判断
exp_xl_head_r32.log,file,0.42,1,16.0,REVIEW,需人工判断
exp_xl_head_r32_attn.log,file,0.42,1,15.8,REVIEW,需人工判断
exp_xl_head_r64.log,file,0.42,1,15.9,REVIEW,需人工判断
exp_xl_head_r8.log,file,0.42,1,16.1,REVIEW,需人工判断
eval_5000.png,file,0.41,1,17.3,REVIEW,需人工判断
eval_5000_newbatch.png,file,0.41,1,17.2,REVIEW,需人工判断
final_id_maps.json,file,0.33,1,15.6,REVIEW,需人工判断
labels/,dir,0.33,1,15.6,REVIEW,需人工判断
train_s8_structv2_b8all.log,file,0.327,1,9.1,REVIEW,需人工判断
exp_xl_skelhead_c2.log,file,0.305,1,14.4,REVIEW,需人工判断
eval_latest.png,file,0.276,1,15.6,REVIEW,需人工判断
exp_s_5script.log,file,0.275,1,15.4,REVIEW,需人工判断
train_factorized_v1_ema_warmup.log,file,0.244,1,15.3,REVIEW,需人工判断
test5.csv,file,0.233,1,15.5,REVIEW,需人工判断
exp_s2_glyphmid.log,file,0.216,1,14.2,REVIEW,需人工判断
exp_s5_struct.log,file,0.209,1,13.4,REVIEW,需人工判断
results.csv,file,0.207,1,5.4,REVIEW,需人工判断
run_ctrl_skel.log,file,0.202,1,7.8,REVIEW,需人工判断
skel_banks_meta.json,file,0.192,1,0.5,REVIEW,需人工判断
labels_map.json,file,0.169,1,18.3,REVIEW,需人工判断
mccd_mapping.json,file,0.169,1,17.6,REVIEW,需人工判断
kailishu_manifest.json,file,0.165,1,14.4,REVIEW,需人工判断
logs_s11_p4.txt,file,0.14,1,6.1,REVIEW,需人工判断
logs_s9_dino.txt,file,0.14,1,6.5,REVIEW,需人工判断
exp_xl_highdim_cs3.log,file,0.121,1,14.5,REVIEW,需人工判断
exp_xl_highdim_cs2.log,file,0.117,1,14.5,REVIEW,需人工判断
overfit_3cond_comparison.png,file,0.113,1,18.1,REVIEW,需人工判断
overfit_comparison.png,file,0.111,1,18.4,REVIEW,需人工判断
std_gt/,dir,0.11,80,14.5,REVIEW,需人工判断
train.py,file,0.109,1,0.1,REVIEW,需人工判断
exp_v3a_glyph_cs3.log,file,0.102,1,15.1,REVIEW,需人工判断
run_px_s.log,file,0.1,1,8.4,REVIEW,需人工判断
exp_xl_lora_cs.log,file,0.099,1,15.0,REVIEW,需人工判断
final_train_small.csv,file,0.098,1,17.0,REVIEW,需人工判断
exp_v3a_glyph_cs.log,file,0.089,1,15.2,REVIEW,需人工判断
gradio_test_龙.png,file,0.068,1,15.6,REVIEW,需人工判断
gradio_test_永.png,file,0.066,1,15.6,REVIEW,需人工判断
gradio_test_福.png,file,0.066,1,15.6,REVIEW,需人工判断
overfit_500.csv,file,0.066,1,18.1,REVIEW,需人工判断
train_factorized_latent_struct_v2.log,file,0.065,1,15.3,REVIEW,需人工判断
cpu_eval_s5-2factor-B-canny05-pixelsk.log,file,0.064,1,11.5,REVIEW,需人工判断
tmp_sync/,dir,0.06,4,2.2,REVIEW,需人工判断
exp_v3a_glyph_cs2.log,file,0.057,1,15.1,REVIEW,需人工判断
cond_ablate_C.png,file,0.053,1,15.5,REVIEW,需人工判断
dit.py,file,0.052,1,2.0,REVIEW,需人工判断
final_eval.csv,file,0.051,1,17.0,REVIEW,需人工判断
cond_ablate_A.png,file,0.046,1,15.5,REVIEW,需人工判断
exp_v3a_glyph.log,file,0.046,1,15.2,REVIEW,需人工判断
logs_s8_eval.txt,file,0.045,1,6.7,REVIEW,需人工判断
cond_ablate_B.png,file,0.039,1,15.5,REVIEW,需人工判断
cpu_eval_s6_top6_diffonly_resume.log,file,0.037,1,9.7,REVIEW,需人工判断
train.py.bak_exp,file,0.037,1,16.3,REVIEW,需人工判断
train.py.bak_pre_opt,file,0.035,1,16.4,REVIEW,需人工判断
train.py.bak_skel0,file,0.034,1,16.5,REVIEW,需人工判断
cond_ablate_D.png,file,0.033,1,15.5,REVIEW,需人工判断
run_struct_L.log,file,0.031,1,8.2,REVIEW,需人工判断
tests/,dir,0.03,5,2.0,REVIEW,需人工判断
train_dashboard.html,file,0.03,1,6.3,REVIEW,需人工判断
cpu_eval_s6_top6_struct_fp32_resume.log,file,0.028,1,9.5,REVIEW,需人工判断
logs_s8_dino.txt,file,0.028,1,6.7,REVIEW,需人工判断
train_factorized_v1.log,file,0.028,1,15.4,REVIEW,需人工判断
auto_eval_cpu.log,file,0.025,1,7.1,REVIEW,需人工判断
cpu_eval_s7_ramp_b8all.log,file,0.025,1,9.2,REVIEW,需人工判断
eval5.csv,file,0.024,1,15.5,REVIEW,需人工判断
exp_xl_highdim_cs.log,file,0.024,1,14.6,REVIEW,需人工判断
pull_monitor.py,file,0.024,1,6.3,REVIEW,需人工判断
cpu_eval_s6_top6_struct_fp32.log,file,0.023,1,10.4,REVIEW,需人工判断
cpu_eval_s9_skelonly.log,file,0.023,1,8.8,REVIEW,需人工判断
exp_xl_skelhead.log,file,0.023,1,14.5,REVIEW,需人工判断
exp_v3a_glyph_cs4.log,file,0.022,1,15.1,REVIEW,需人工判断
_chars_all.txt,file,0.02,1,14.5,REVIEW,需人工判断
cpu_eval_pixelfp32.log,file,0.02,1,11.1,REVIEW,需人工判断
example_100/,dir,0.02,1,19.3,REVIEW,需人工判断
exp_s_scratch.log,file,0.02,1,15.5,REVIEW,需人工判断
LICENSE.txt,file,0.019,1,23.1,REVIEW,需人工判断
controlnet.py,file,0.019,1,2.0,REVIEW,需人工判断
_chars_zhuan.txt,file,0.017,1,14.5,REVIEW,需人工判断
dit_s_pretrain_train.log,file,0.016,1,16.4,REVIEW,需人工判断
flow_matching.py,file,0.016,1,2.0,REVIEW,需人工判断
_,file,0.015,1,15.1,REVIEW,需人工判断
cpu_eval_s8_structv2_b8all.log,file,0.015,1,9.1,REVIEW,需人工判断
in_process_eval.py,file,0.015,1,0.1,REVIEW,需人工判断
latent_dataset.py,file,0.015,1,0.1,REVIEW,需人工判断
modules.py,file,0.014,1,2.0,REVIEW,需人工判断
_chars_kai.txt,file,0.013,1,14.5,REVIEW,需人工判断
kailishu_eval.csv,file,0.013,1,14.4,REVIEW,需人工判断
prepare_mccd_dataset_gpu.py,file,0.013,1,18.4,REVIEW,需人工判断
_chars_xing.txt,file,0.011,1,14.5,REVIEW,需人工判断
cpu_eval_s6_top6_struct_fp32_full.log,file,0.011,1,10.3,REVIEW,需人工判断
prepare_mccd_dataset_fast.py,file,0.011,1,18.4,REVIEW,需人工判断
train_glyph_classifier.py,file,0.011,1,5.0,REVIEW,需人工判断
_chars_cao.txt,file,0.01,1,14.5,REVIEW,需人工判断
_chars_li.txt,file,0.01,1,14.5,REVIEW,需人工判断
_sync_work/,dir,0.01,2,1.5,REVIEW,需人工判断
configs_s11/,dir,0.01,3,6.1,REVIEW,需人工判断
eval_def.log,file,0.01,1,15.6,REVIEW,需人工判断
gradio_app.py,file,0.01,1,15.6,REVIEW,需人工判断
lora.py.bak_exp,file,0.01,1,16.3,REVIEW,需人工判断
train_eval_classifier.py,file,0.01,1,18.4,REVIEW,需人工判断
README.md,file,0.009,1,18.4,REVIEW,需人工判断
_audit_remote_files.py,file,0.009,1,0.0,REVIEW,需人工判断
_scan_results.py,file,0.009,1,0.2,REVIEW,需人工判断
cpu_eval_gpu_s5-2factor-B-latentC-pixelsk-opt.log,file,0.009,1,12.5,REVIEW,需人工判断
cpu_eval_s5-2factor-B-latentC-pixelsk-opt.log,file,0.009,1,12.5,REVIEW,需人工判断
cpu_eval_s6_top6_diffonly.log,file,0.009,1,11.0,REVIEW,需人工判断
gradio_install.log,file,0.009,1,15.6,REVIEW,需人工判断
prepare_mccd_dataset.py,file,0.009,1,18.4,REVIEW,需人工判断
train_pixel_classifier.py,file,0.009,1,4.9,REVIEW,需人工判断
train_pixel_classifier_v2.py,file,0.009,1,4.9,REVIEW,需人工判断
_scan_assets.py,file,0.008,1,0.2,REVIEW,需人工判断
midclean_chars_kai.txt,file,0.008,1,2.1,REVIEW,需人工判断
midclean_chars_xing.txt,file,0.008,1,2.1,REVIEW,需人工判断
_enrich_experiments.py,file,0.007,1,0.2,REVIEW,需人工判断
_probe_top6.log,file,0.007,1,11.1,REVIEW,需人工判断
eval_all_classifiers.py,file,0.007,1,4.7,REVIEW,需人工判断
logs_s9_eval.txt,file,0.007,1,6.5,REVIEW,需人工判断
run_skel_small.log,file,0.007,1,8.3,REVIEW,需人工判断
_probe_fulldec.log,file,0.006,1,11.1,REVIEW,需人工判断
_scan_model.py,file,0.006,1,0.2,REVIEW,需人工判断
dataset.py,file,0.006,1,0.1,REVIEW,需人工判断
flask_app.py,file,0.006,1,15.6,REVIEW,需人工判断
logs_evalmetrics.txt,file,0.006,1,6.1,REVIEW,需人工判断
preprocess_all.py,file,0.006,1,17.0,REVIEW,需人工判断
run_ctrl_top30.log,file,0.006,1,7.5,REVIEW,需人工判断
run_struct_gpu.log,file,0.006,1,8.3,REVIEW,需人工判断
watchdog_out.log,file,0.006,1,15.8,REVIEW,需人工判断
_stats_fontcov_remote.py,file,0.005,1,1.1,REVIEW,需人工判断
dict.txt,file,0.005,1,18.4,REVIEW,需人工判断
fast100.csv,file,0.005,1,15.5,REVIEW,需人工判断
fast100_5script.csv,file,0.005,1,15.5,REVIEW,需人工判断
gen_canny_skel.py,file,0.005,1,17.0,REVIEW,需人工判断
midclean_chars_li.txt,file,0.005,1,2.1,REVIEW,需人工判断
probe_b16.log,file,0.005,1,15.1,REVIEW,需人工判断
probe_v3a_cs.log,file,0.005,1,15.2,REVIEW,需人工判断
probe_xl_struct.log,file,0.005,1,15.1,REVIEW,需人工判断
run_DiT.ipynb,file,0.005,1,18.4,REVIEW,需人工判断
sample_3cond.py,file,0.005,1,18.2,REVIEW,需人工判断
vae_hash.py,file,0.005,1,17.1,REVIEW,需人工判断
CHAR_PLAN.json,file,0.004,1,16.1,REVIEW,需人工判断
__init__.py,file,0.004,1,2.0,REVIEW,需人工判断
_check_famous_ext.py,file,0.004,1,1.1,REVIEW,需人工判断
_make_skel_ablation.py,file,0.004,1,0.2,REVIEW,需人工判断
_smoke_exp1.log,file,0.004,1,11.1,REVIEW,需人工判断
_smoke_resume.log,file,0.004,1,10.2,REVIEW,需人工判断
_watchdog.sh,file,0.004,1,16.2,REVIEW,需人工判断
eval_S_curves.log,file,0.004,1,15.5,REVIEW,需人工判断
glyph_classifier.py,file,0.004,1,5.0,REVIEW,需人工判断
gpu_eval_all.log,file,0.004,1,7.6,REVIEW,需人工判断
logs_s10_eval.txt,file,0.004,1,6.4,REVIEW,需人工判断
monitor_s13.py,file,0.004,1,4.6,REVIEW,需人工判断
probe_factorized_struct_b32.log,file,0.004,1,15.4,REVIEW,需人工判断
probe_factorized_struct_b64_rerun.log,file,0.004,1,15.4,REVIEW,需人工判断
probe_latent_struct_b224.log,file,0.004,1,15.3,REVIEW,需人工判断
probe_v3a_cs_b8.log,file,0.004,1,15.2,REVIEW,需人工判断
run_skel_dec.log,file,0.004,1,8.4,REVIEW,需人工判断
s23_glyph_cond.json,file,0.004,1,0.1,REVIEW,需人工判断
verify_dataset_quality.py,file,0.004,1,18.4,REVIEW,需人工判断
CODE_OF_CONDUCT.md,file,0.003,1,18.4,REVIEW,需人工判断
_check_glyph_lib.py,file,0.003,1,0.3,REVIEW,需人工判断
_smoke_ctrl_latent.py,file,0.003,1,2.2,REVIEW,需人工判断
check_fonts_cov.py,file,0.003,1,14.5,REVIEW,需人工判断
cpu_eval_ctrl.log,file,0.003,1,8.1,REVIEW,需人工判断
dit_s_smoke.log,file,0.003,1,16.4,REVIEW,需人工判断
eval_glyph_classifier.py,file,0.003,1,5.0,REVIEW,需人工判断
logs_batcheval.txt,file,0.003,1,6.3,REVIEW,需人工判断
probe_factorized_struct_b64.log,file,0.003,1,15.4,REVIEW,需人工判断
run_4tests_serial.sh,file,0.003,1,4.5,REVIEW,需人工判断
run_s6_experiments.sh,file,0.003,1,11.1,REVIEW,需人工判断
run_skel_d3.log,file,0.003,1,8.4,REVIEW,需人工判断
sample.py,file,0.003,1,18.4,REVIEW,需人工判断
OOD_PLAN.json,file,0.002,1,16.1,REVIEW,需人工判断
_check_emperor.py,file,0.002,1,1.1,REVIEW,需人工判断
_make_vis_grid.py,file,0.002,1,0.3,REVIEW,需人工判断
_probe_fame.py,file,0.002,1,0.3,REVIEW,需人工判断
_probe_remote.py,file,0.002,1,1.1,REVIEW,需人工判断
_scan_log_formats.py,file,0.002,1,0.2,REVIEW,需人工判断
auto_eval_ctrl.log,file,0.002,1,7.6,REVIEW,需人工判断
ckpt_config.json,file,0.002,1,15.6,REVIEW,需人工判断
diag_dwm.ps1,file,0.002,1,18.4,REVIEW,需人工判断
diag_primary.ps1,file,0.002,1,18.4,REVIEW,需人工判断
encode_klf4.log,file,0.002,1,7.4,REVIEW,需人工判断
