run,status,n_ckpt,last_step,best_seen,best_strict,size_GB,model,batch,lr,max_steps,w_repa,inject,aux,aux_w
smoke_c41x_sty32,archived,1,1000,,,0.9,DiT-2Cond-Sp/2,128,0.00015,1000,0.03,xattn,,
v10a_skel_cond_pretrain,archived,4,127500,0.8476@127500,,3.2,DiT-2Cond-S/2,320,0.00015,150000,0.1,,,
v10adino_skel_cond_pretrain,archived,2,80000,0.8348@77500,,1.2,DiT-2Cond-S/2,320,0.00015,150000,0.1,,,
v10b_handwrite_test,archived,0,-1,,,0.0,,,,,,,,
v10b_skel_only_pretrain,archived,2,85000,0.8404@85000,,1.2,DiT-2Cond-S/2,320,0.00015,150000,0.1,,,
v10b_stdskel_fame3,archived,2,57500,0.6185@50000,0.5059@57500,1.2,DiT-2Cond-S/2,320,0.00015,80000,0.1,,,
v10b_stdskel_fame3_c41,archived,2,3000,,,2.1,DiT-2Cond-Sp/2,192,0.00015,80000,0.03,,,
v10b_stdskel_fame3_c41d01,archived,2,15000,,,2.1,DiT-2Cond-Sp/2,192,0.00015,80000,0.03,,,
v10b_stdskel_fame3_c41x_cos_clean,archived,1,175000,0.7510@175000,,1.2,DiT-2Cond-Sp/2,128,5e-05,400000,0.03,xattn,,
v10b_stdskel_fame3_c41x_cos_e_struct,archived,2,410000,0.7413@400000,0.5521@400000,2.5,DiT-2Cond-Sp/2,128,5e-05,500000,0.03,xattn,,
v10b_stdskel_fame3_c41x_cos_e_struct_sk002,archived,0,-1,,,0.0,DiT-2Cond-Sp/2,128,5e-05,500000,0.03,xattn,,
v10b_stdskel_fame3_c41x_scratch,archived,2,12500,0.5029@12500,,2.5,DiT-2Cond-Sp/2,128,5e-05,400000,0.03,xattn,,
v10b_stdskel_fame3_d01,archived,2,22500,0.5960@17500,0.4971@22500,1.1,DiT-2Cond-S/2,320,0.00015,80000,0.1,,,
v10b_stdskel_fame3_deep,archived,2,32500,0.6117@30000,0.5018@32500,1.2,DiT-2Cond-S/2,320,0.00015,80000,0.1,,,
v10b_stdskel_fame3_mid,archived,2,5000,0.5449@1000,0.4813@5000,1.1,DiT-2Cond-S/2,320,0.00015,80000,0.1,,,
v10b_stdskel_fame3_scratch_sty32,archived,6,202500,0.6690@197500,0.5518@190000,7.8,DiT-2Cond-Sp/2,128,5e-05,230000,0.03,xattn,,
v10b_stdskel_fame3_scratch_sty32_s,archived,2,112500,0.5245@105000,0.5363@100000,1.6,DiT-2Cond-S/2,128,5e-05,200000,0.03,xattn,,
v10b_stdskel_fame3_scratch_sty32_s_aux,archived,11,37500,0.5077@35000,0.4985@30000,7.4,DiT-2Cond-S/2,288,5e-05,90000,0.03,adaln,"aux_skel_latents_fame_e,aux_canny_latents_fame_e",
v10b_stdskel_fame3_sp,archived,2,80000,0.5636@77500,0.5179@77500,2.1,DiT-2Cond-Sp/2,192,0.00015,80000,0.1,,,
v10b_stdskel_fame3_sp2,archived,2,27500,0.4803@22500,,2.1,DiT-2Cond-Sp/2,192,0.00015,80000,0.03,,,
v10b_stdskel_pretrain,archived,2,4000,0.5528@2000,,1.1,DiT-2Cond-S/2,320,0.00015,150000,0.1,,,
v10brepa_strong,archived,2,7500,0.7589@3000,,1.1,DiT-2Cond-S/2,320,0.00015,150000,0.5,,,
v8_3stage,archived,0,-1,,,131.2,,,,,,,,
v9a_repa_pretrain,archived,3,130000,0.5204@130000,,1.9,DiT-2Cond-S/2,320,0.00015,150000,0.1,,,
v9c_skel_joint,archived,4,40000,,,4.8,,,,,,,,
