img_id,plan,steps,before_ink,after_ink
45845,crop,crop_t0b0l43r45+denoise,0.4716,0.1274
46046,denoise,denoise,0.3195,0.3100
253294,denoise,denoise,0.2114,0.2014
46115,denoise,denoise,0.2752,0.2703
47098,crop,crop_t22b27l0r0+denoise,0.4905,0.3006
47341,denoise,denoise,0.3484,0.3361
47529,crop,crop_t0b0l13r14+denoise,0.4844,0.3789
47562,crop,crop_t0b0l16r14+denoise,0.4764,0.3590
47566,denoise,denoise,0.3633,0.3600
47626,crop,crop_t0b0l16r14+denoise,0.4764,0.3590
47631,denoise,denoise,0.3633,0.3600
47650,denoise,denoise,0.3344,0.3276
50473,crop,crop_t33b36l0r0+denoise,0.3966,0.1264
50591,denoise,denoise,0.1663,0.1564
50392,denoise,denoise,0.0784,0.0754
50841,denoise,denoise,0.2407,0.2340
255233,denoise,denoise,0.3016,0.2855
51470,crop,crop_t0b0l19r26,0.3868,0.2111
52344,denoise,denoise,0.2265,0.2150
52478,denoise,denoise,0.2339,0.2276
43825,denoise,denoise,0.4212,0.4084
43889,denoise,denoise,0.1933,0.1880
43990,denoise,denoise,0.2647,0.2558
44027,denoise,denoise,0.4465,0.4306
252480,denoise,denoise,0.2805,0.2710
44137,denoise,denoise,0.1854,0.1794
44173,denoise,denoise,0.2279,0.2198
44176,denoise,denoise,0.2010,0.1903
49533,denoise,denoise,0.3579,0.3555
49952,denoise,denoise,0.1790,0.1695
50052,denoise,denoise,0.1263,0.1189
49482,denoise,denoise,0.1509,0.1273
254462,crop,crop_t38b35l0r0+denoise,0.4565,0.1723
49092,denoise,denoise,0.1766,0.1636
254575,denoise,denoise,0.3134,0.2984
50446,denoise,denoise,0.1115,0.1097
46341,denoise,denoise,0.2763,0.2660
46346,denoise,denoise,0.3226,0.3105
46450,crop,crop_t0b0l25r26+denoise,0.3392,0.1391
253502,crop,crop_t0b0l34r35+denoise,0.4816,0.2096
46775,crop,crop_t20b21l0r0+denoise,0.2810,0.1183
46941,denoise,denoise,0.4126,0.4017
47010,crop,crop_t23b23l0r0+denoise,0.3033,0.1229
253685,crop,crop_t46b46l0r0+denoise,0.4645,0.1050
52518,denoise,denoise,0.1526,0.1428
52860,denoise,denoise,0.2670,0.2550
256067,denoise,denoise,0.1031,0.1009
256068,denoise,denoise,0.2255,0.2200
255964,denoise,denoise,0.2105,0.2042
52906,denoise,denoise,0.2831,0.2775
256336,denoise,denoise,0.2775,0.2639
53502,crop,crop_t0b0l35r36+denoise,0.3884,0.1078
57394,denoise,denoise,0.1912,0.1889
59119,invert,invert+denoise,0.5505,0.4494
59357,denoise,denoise,0.2436,0.2384
57750,denoise,denoise,0.1482,0.1434
